NEURON_ID,Session_No,Stimulation_condition,Handedness,Active_Arm,Fraction_complete,Abs error X (m),SD - Abs error X (m),Abs error Y (m),SD - Abs error Y (m),Abs error XY (m),SD - Abs error XY (m),Variability X (m),SD - Variability X (m),Variability Y (m),SD - Variability Y (m),Variability XY (m),SD - Variability XY (m),Contraction/expansion ratio X,SD - Contraction/expansion ratio X,Contraction/expansion ratio Y,SD - Contraction/expansion ratio Y,Contraction/expansion ratio XY,SD - Contraction/expansion ratio XY,Shift X (m),SD - Shift X (m),Shift Y (m),SD - Shift Y (m),Shift XY (m),SD - Shift XY (m),Z-Abs error X (m),Z-Abs error Y (m),Z-Abs error XY (m),Z-Variability X (m),Z-Variability Y (m),Z-Variability XY (m),Z-Contraction/expansion ratio X,Z-Contraction/expansion ratio Y,Z-Contraction/expansion ratio XY,Z-Shift X (m),Z-Shift Y (m),Z-Shift XY (m),P-Abs error X (m),P-Abs error Y (m),P-Abs error XY (m),P-Variability X (m),P-Variability Y (m),P-Variability XY (m),P-Contraction/expansion ratio X,P-Contraction/expansion ratio Y,P-Contraction/expansion ratio XY,P-Shift X (m),P-Shift Y (m),P-Shift XY (m)
Y_01,3,sham,R,RIGHT,1,0.01756183989346,0.014989891089499,0.023546628654003,0.012208799831569,0.031947422772646,0.01459448132664,0.017523938789964,0.006480974610895,0.009328766725957,0.002585985232145,0.019852312281728,0.006977846845984,1.02175068855286,0.109994851052761,1.04308044910431,0.146454721689224,1.07239806652069,0.082949548959732,0.008595136925578,0.011971354484558,-0.0229387935251,0.003554918104783,0.024496216326952,0.012488024309278,-3.14016467615377,0.368163466578472,-1.40362705022338,-1.27273553130607,-1.24458493996771,-1.43841981732524,0.917117095511872,0.280905064169474,0.79144893977899,0.444630212453718,-0.717586080884952,-0.406927834328884,0.000844331188444,0.643624269158008,0.080215019079725,0.10155601799278,0.106642244595414,0.075157530111883,0.82045938545847,0.610608330521278,0.7856590362497,0.671706471637797,0.23650619674257,0.342030537552786
Y_02,2,sham,R,RIGHT,1,0.034306038171053,0.02686433121562,0.021996794268489,0.016793606802821,0.044509455561638,0.026025852188468,0.027519006282091,0.006081934086978,0.017857505008578,0.004748234990984,0.032805275171995,0.00771593535319,0.91269838809967,0.383159309625626,1.09994781017303,0.078330636024475,0.987445414066315,0.11888587474823,0.018110316246748,0.018781742081046,-0.016789453104138,0.012959743849933,0.024695532396436,0.022819045931101,-0.200027684284653,0.156930487453526,-0.219812009239618,0.146307417739224,1.12221759823551,0.363092101832895,0.23105522776544,0.821267414553649,0.456176781554797,0.697671058722039,-0.412902484816978,-0.432022659055624,0.420729486538337,0.562350197712438,0.413008818440929,0.558160667806748,0.869114987577256,0.641731900257248,0.591364009520369,0.794253077613364,0.675868552638011,0.75730860818396,0.339839069126617,0.332862502040945
Y_03,2,sham,R,RIGHT,1,0.0194096788764,0.015922414138913,0.016288729384542,0.012739463709295,0.028372446075082,0.015805238857865,0.018684400245547,0.008485868573189,0.01342039834708,0.004217355977744,0.023004649206996,0.009476077742875,1.09663891792297,0.114950053393841,1.05316913127899,0.110466480255127,1.15409684181213,0.047336529940367,0.011106192134321,0.011724086478353,-0.011961392126977,0.005848249886185,0.016322450712323,0.013101764954627,-2.3997312648324,-0.612213237484148,-1.98706962380159,-1.11186196309734,0.062779424234073,-0.956989341823214,1.43283148505511,0.399012779592563,1.16837105037152,0.511407675452553,-0.20434122102589,-0.961225287951109,0.00820354894176,0.270198284905081,0.023457270813565,0.133098796341061,0.525028995563599,0.169286305836241,0.924046954517588,0.655058061124261,0.878671379902761,0.695467201879731,0.419043454707737,0.168219442263112
Y_04,1,sham,R,RIGHT,1,0.023075204342604,0.020667608827353,0.022714814171195,0.015455630607903,0.036265663802624,0.019855042919517,0.023498522117734,0.010593330487609,0.012969061732292,0.005784596316516,0.026839841157198,0.012069805525243,1.0534496307373,0.29046294093132,1.18209266662598,0.090024143457413,1.26726531982422,0.077894866466522,0.013345412909985,0.006761008873582,-0.018790138885379,0.005222565494478,0.023047111928463,0.008543209172785,-1.56582003048289,0.21348854253293,-0.984622957728859,-0.413483603097543,-0.110015373850519,-0.432555822746659,1.17210592186327,1.56512941724026,1.66470084347131,0.570956140166713,-0.487587735820695,-0.547993736754114,0.058695385820074,0.584527006397582,0.162404653837097,0.339626205273328,0.456198538819831,0.332668774193013,0.879422676445386,0.941223708139821,0.952013794039551,0.715985354619864,0.312920942324888,0.291848070521713
Y_05,1,sham,R,RIGHT,1,0.040650822222233,0.031759064644575,0.009978489018977,0.007818263024092,0.043645918369293,0.030231969431043,0.031509403139353,0.015634834766388,0.009076616726816,0.003144080983475,0.032790660858154,0.015947829931974,0.963953912258148,0.369884133338928,1.01829504966736,0.063283003866673,1.02615177631378,0.11213706433773,0.034102682024241,0.017291586846113,0.006495229434222,0.005023218691349,0.034715715795755,0.01800643466413,0.22972804703976,-2.3391388860838,-0.331529714100483,0.591201449963584,-1.45410129508588,0.320700859209771,0.591368512570352,0.130303987124661,0.655828502745941,1.12296223123477,0.650862520526125,0.068550080478178,0.590848409138369,0.009664102853936,0.370122263819024,0.722807324251472,0.072959152033988,0.625781387387168,0.722863283419001,0.55183707379502,0.744032831148167,0.869273185621033,0.742432449028046,0.527326193060313
Y_06,3,sham,R,RIGHT,1,0.023711828514934,0.02068948186934,0.023674869909883,0.016686901450157,0.038282312452793,0.01890117675066,0.025933478027582,0.007135910913348,0.014064538292587,0.004408936481923,0.029501805081964,0.008388083428144,0.81284761428833,0.187748998403549,1.06259191036224,0.154396697878838,0.85875803232193,0.179766088724136,-0.007940592244267,0.013075885362923,-0.02196885459125,0.007522138766944,0.023359872400761,0.015085136517882,-1.40269572817855,0.358980114277801,-0.722520391073172,-0.034309517974111,0.252648723255502,-0.021185216029106,-0.441047075405425,0.472400860803611,-0.150536964291025,0.004889166954738,-0.659391556762472,-0.492485702773627,0.080353847256921,0.640194958560336,0.234987222139287,0.486315109421864,0.599730109854066,0.491548911142579,0.329589483681105,0.681679646494382,0.440170475551323,0.501950500004839,0.254822111965598,0.311188010862598
Y_07,1,sham,R,RIGHT,1,0.063518226146698,0.034735843539238,0.048330210149288,0.030816044658423,0.083446964621544,0.03939538449049,0.025051321834326,0.010378404520452,0.015892513096333,0.007292088121176,0.029667165130377,0.012684077955782,0.84299224615097,0.30628901720047,1.3353955745697,0.15165975689888,1.1505514383316,0.093426987528801,-0.063452929258347,0.016114378347993,-0.048281725496054,0.010081441141665,0.079733297228813,0.019008120521903,1.40001251972705,2.00076412879869,1.77424368702115,-0.163724987411252,0.695440089202668,-0.013350731472457,-0.235067837243224,2.88797811897433,1.15343675457269,-1.47137189573723,-1.82899535726723,1.7295193664607,0.919245163367497,0.977291162508573,0.961988623204321,0.434973815109298,0.756610301583121,0.494673957219457,0.407078084869783,0.998061299498223,0.875634364933896,0.070595320080741,0.033700093333031,0.95814194679195
Y_08,2,sham,R,RIGHT,1,0.028951926156879,0.022683193907142,0.024490661919117,0.016174972057343,0.041038926690817,0.022919971495867,0.024756440892816,0.007184940390289,0.013375996612012,0.004021878354251,0.028138916939497,0.008234007284045,0.866161167621613,0.377806633710861,1.19537508487701,0.088791616261005,1.03335773944855,0.141709312796593,-0.022405384108424,0.009484760463238,-0.021154085174203,0.007275782525539,0.030813902616501,0.011953981593251,-0.766012006649998,0.373709444094909,-0.561121009921413,-0.263136992762276,-0.025540062196848,-0.2821782011765,-0.043927484888953,1.70169105546985,0.696902545249699,-0.379778641276473,-0.578522085646872,-0.134437919878412,0.221834507973085,0.645689696522638,0.287357485866626,0.396222552498235,0.489812048376144,0.388903497759589,0.48248103805616,0.95559338245211,0.757068181474035,0.352054921498914,0.281455800556515,0.446528115845111
Y_09,3,sham,R,RIGHT,1,0.033719345927239,0.033476728945971,0.024703865870833,0.016046712175012,0.047102753072977,0.029964977875352,0.03576773032546,0.017931297421455,0.021840771660209,0.007624218706042,0.041908826678991,0.019484870135784,1.17742085456848,0.349719792604446,1.18221843242645,0.212138488888741,1.36383271217346,0.222030967473984,0.022757658734918,0.016898196190596,-0.008445477113128,0.009731262922287,0.024274207651615,0.019499910995364,-0.211430358397362,0.472773870378377,0.015727148567064,1.13105443323658,1.94700516090885,1.39935632427185,1.94851206604801,1.51767978736397,2.00445465962556,0.821259636132117,-0.061877863056657,-0.429102569443028,0.416275764567553,0.681812732777589,0.506273999836595,0.870983860603391,0.97423301168793,0.919146869341948,0.974323208465424,0.935452406633612,0.977489380247349,0.794250862780214,0.475329977387305,0.333924322411153
Y_10,2,sham,R,RIGHT,1,0.033211033791304,0.022989006713033,0.020408255979419,0.014550754800439,0.043229904025793,0.019602864980698,0.023633865639567,0.010649451985955,0.010857853107154,0.004296325612813,0.026008700951934,0.011483432725072,0.828171908855438,0.370696604251862,1.00683295726776,0.156466200947762,0.760380923748016,0.153480276465416,-0.006900274194777,0.016251835972071,-0.019683128222823,0.00534093985334,0.020857596769929,0.017106952145696,-0.255697987613201,0.003574552296907,-0.275190638761592,-0.334952664148411,-0.693378109381006,-0.481791311922099,-0.348037207785157,-0.029051141216432,-0.630355146940019,0.032554747470452,-0.564552113633561,-0.637586010002581,0.399092078258524,0.501426046321111,0.391584949272632,0.368830460359062,0.244036074483291,0.314977104289466,0.363906181351556,0.488411848730282,0.264231062092357,0.512985227970795,0.286189183243405,0.261871537832805
